data
Covid-19 Deaths in US by Months from 2020 to 2024,,,,,,,,
Year,Month,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote,
2020,1,6,98,17909,3,2125,20037,
2020,2,25,104,15740,10,2373,18127,
2020,3,7175,107,22481,3345,2437,28620,
2020,4,65553,138,46429,28399,1237,84008,
2020,5,38330,121,29011,15928,126,51519,
2020,6,18026,113,19294,7661,40,29694,
2020,7,31135,123,27122,14903,50,43386,
2020,8,29913,123,27358,15116,43,42180,
2020,9,19158,116,21130,9377,28,30934,
2020,10,24930,117,24327,11734,69,37570,
2020,11,53250,129,38301,25290,103,66322,
2020,12,98175,144,62920,48326,156,112845,
2021,1,105566,139,69849,55416,144,120080,
2021,2,48570,120,38081,26128,90,60580,
2021,3,23268,107,24620,12253,66,35686,
2021,4,18805,110,21306,9885,47,30262,
2021,5,14989,111,19477,8193,35,26297,
2021,6,8024,110,15625,4361,36,19317,
2021,7,11222,114,18262,6257,32,23252,
2021,8,48822,135,41897,29177,61,61574,
2021,9,63444,141,51087,38295,86,76295,
2021,10,42606,128,38648,25391,65,55912,
2021,11,32328,123,31968,18377,77,45979,
2021,12,45623,125,41195,25884,353,61250,
2022,1,84034,137,59497,43708,627,100299,
2022,2,50315,124,38853,26310,294,63062,
2022,3,15632,107,20077,7249,318,28744,
2022,4,6266,105,14477,2245,408,18877,
2022,5,7636,110,15057,2528,389,20528,
2022,6,9543,112,15143,3336,266,21592,
2022,7,13396,115,16408,4572,109,25321,
2022,8,14142,115,16624,4965,68,25853,
2022,9,11138,114,15427,3780,80,22850,
2022,10,9721,113,16203,3233,280,22953,
2022,11,10048,114,17507,3390,1457,25545,
2022,12,14394,118,22489,5103,4467,35988,
2023,1,14897,107,22279,5614,2242,33635,
2023,2,9003,106,16933,3329,424,22982,
2023,3,7609,107,17187,2708,240,22299,
2023,4,5177,108,15547,1852,177,19031,
2023,5,3543,109,14527,1299,160,16916,
2023,6,2592,109,13151,904,122,14954,
2023,7,2352,109,12627,849,96,14221,
2023,8,4060,111,13490,1557,99,16081,
2023,9,5957,111,14474,2383,139,18170,
2023,10,5906,110,15183,2203,196,19059,
2023,11,6227,110,15863,2328,407,20141,
2023,12,8609,111,19368,3187,1819,26510,
2024,1,10200,109,21943,3946,3281,31288,
2024,2,5936,108,16570,2305,1796,21880,
2024,3,4057,103,16005,1583,1317,19738,
2024,4,2065,100,13764,797,636,15635,
2024,5,550,38,4854,232,144,5313,
